id,name,description
CS101,Introduction to Programming,Basic programming concepts and Python
CS201,Data Structures,Arrays, linked lists, stacks, queues
MATH101,Calculus I,Limits, derivatives, and basic integration
MATH201,Linear Algebra,Matrices, vectors, and linear transformations
PHYS101,General Physics,Mechanics and thermodynamics
CHEM101,General Chemistry,Atomic structure and chemical bonding
BIO101,Introduction to Biology,Cell structure and basic life processes
ENG101,English Composition,Academic writing and communication
HIST101,World History,Ancient civilizations to modern times
CS301,Database Systems,Relational databases and SQL