student_id,course_id,semester,grade
S001,CS101,Fall 2024,A
S001,MATH101,Fall 2024,B+
S002,CS101,Fall 2024,A-
S002,ENG101,Fall 2024,B
S003,CS201,Fall 2024,B+
S004,MATH101,Fall 2024,A
S004,MATH201,Spring 2025,
S005,MATH101,Fall 2024,B
S006,PHYS101,Fall 2024,A-
S006,MATH101,Fall 2024,A
S007,PHYS101,Fall 2024,B+
S008,CHEM101,Fall 2024,A
S009,CHEM101,Fall 2024,B
S010,BIO101,Fall 2024,A-
S011,BIO101,Fall 2024,B+
S012,ENG101,Fall 2024,A
S013,ENG101,Fall 2024,B+
S014,HIST101,Fall 2024,A-
S015,HIST101,Fall 2024,B
S016,CS101,Fall 2024,
S017,CS101,Fall 2024,
S018,MATH101,Fall 2024,
S019,MATH101,Fall 2024,
S020,CHEM101,Fall 2024,